Identifiant ArcGIS;Nom du site;Adresse;Code Site;Arrondissement;geo_shape;geo_point_2d
138;PARC DE BERCY (MAISON DU LAC);1, COUR CHAMONARD;PARIS_WIFI_1217;75012;"{""type"": ""Point"", ""coordinates"": [2.384846857533118, 48.83361412787135]}";48.8336141279, 2.38484685753
156;JARDIN CHATEAU DES RENTIERS;RUE DU CHATEAU DES RENTIERS;PARIS_WIFI_1309;75013;"{""type"": ""Point"", ""coordinates"": [2.3694309504102136, 48.825380639572195]}";48.8253806396, 2.36943095041
161;JARDIN MICHELET;237, RUE DE TOLBIAC;PARIS_WIFI_1314;75013;"{""type"": ""Point"", ""coordinates"": [2.3432757087733833, 48.826005031790416]}";48.8260050318, 2.34327570877
167;PARC DE CHOISY;160, AVENUE DE CHOISY;PARIS_WIFI_1320;75013;"{""type"": ""Point"", ""coordinates"": [2.3610351060540835, 48.82832299823303]}";48.8283229982, 2.36103510605
135;JARDIN CITE DEBERGUE;34, RUE DU RENDEZ VOUS;PARIS_WIFI_1214;75012;"{""type"": ""Point"", ""coordinates"": [2.404013531274079, 48.84657751256127]}";48.8465775126, 2.40401353127
141;PARC DE BERCY (TERRASSE BERCY);1, COUR CHAMONARD;PARIS_WIFI_1220;75012;"{""type"": ""Point"", ""coordinates"": [2.3822164626863254, 48.83453761066351]}";48.8345376107, 2.38221646269
139;PARC DE BERCY (JARDINAGE);1, COUR CHAMONARD;PARIS_WIFI_1218;75012;"{""type"": ""Point"", ""coordinates"": [2.382142958211784, 48.83559263766623]}";48.8355926377, 2.38214295821
173;SQUARE GEORGES DUHAMEL;RUE JEAN ANOUILH;PARIS_WIFI_1326;75013;"{""type"": ""Point"", ""coordinates"": [2.377741922908203, 48.83199265909073]}";48.8319926591, 2.37774192291
199;SQUARE SERMENT DE KOUFRA;30, AVENUE ERNEST REYER;PARIS_WIFI_1419;75014;"{""type"": ""Point"", ""coordinates"": [2.3234424461233747, 48.82212873729243]}";48.8221287373, 2.32344244612
104;PLACE DE LA REPUBLIQUE EST;PLACE DE LA REPUBLIQUE;PARIS_WIFI-1014;75010;"{""type"": ""Point"", ""coordinates"": [2.3645323579695465, 48.86714354650786]}";48.8671435465, 2.36453235797
117;SQUARE BREGUET SABIN;25, BOULEVARD RICHARD LENOIR;PARIS_WIFI_1111;75011;"{""type"": ""Point"", ""coordinates"": [2.370963738133975, 48.857223616101834]}";48.8572236161, 2.37096373813
136;MAIRIE  12;130, AVENUE DAUMESNIL;PARIS_WIFI_1215;75012;"{""type"": ""Point"", ""coordinates"": [2.3883186598307597, 48.841101571922536]}";48.8411015719, 2.38831865983
165;MAISON DES INITIATIVES ETUDIANTES;15, RUE JEAN ANTOINE DE BAIF;PARIS_WIFI_1318;75013;"{""type"": ""Point"", ""coordinates"": [2.383717640979977, 48.82681706821629]}";48.8268170682, 2.38371764098
186;INSTITUT DU JUDO;21, AVENUE DE LA PORTE DE CHÃ„TILLON;PARIS_WIFI_1406;75014;"{""type"": ""Point"", ""coordinates"": [2.3158355498743033, 48.82290813052457]}";48.8229081305, 2.31583554987
132;ESPACE REUILLY;21, RUE HENARD;PARIS_WIFI_1211;75012;"{""type"": ""Point"", ""coordinates"": [2.3895571772978554, 48.84259519746065]}";48.8425951975, 2.3895571773
103;PLACE DE LA REPUBLIQUE OUEST;PLACE DE LA REPUBLIQUE;PARIS_WIFI_1013;75010;"{""type"": ""Point"", ""coordinates"": [2.3632611471754412, 48.867915519208765]}";48.8679155192, 2.36326114718
128;CENTRE D'ANIMATION MONTGALLET;4, PASSAGE STINVILLE;PARIS_WIFI_1207;75012;"{""type"": ""Point"", ""coordinates"": [2.3885137915307038, 48.844133856906225]}";48.8441338569, 2.38851379153
122;SQUARE ORILLON JULES VERNES;19 BIS, RUE DE L ORILLON;PARIS_WIFI_1117;75011;"{""type"": ""Point"", ""coordinates"": [2.375124831354123, 48.8700322353404]}";48.8700322353, 2.37512483135
142;PROMENADE PLANTEE;ALLEE VIVALDI;PARIS_WIFI_1221;75012;"{""type"": ""Point"", ""coordinates"": [2.395432506646559, 48.841248237449506]}";48.8412482374, 2.39543250665
160;JARDIN JAMES JOYCE;RUE GEORGES BALANCHINE;PARIS_WIFI_1313;75013;"{""type"": ""Point"", ""coordinates"": [2.3737572412455847, 48.836277455826675]}";48.8362774558, 2.37375724125
168;PARC KELLERMANN;3, RUE DE LA POTERNE DES PEUPLIERS;PARIS_WIFI_1321;75013;"{""type"": ""Point"", ""coordinates"": [2.3538018823902407, 48.81848820127253]}";48.8184882013, 2.35380188239
196;SQUARE DU CHANOINE VIOLLET;72, RUE DU MOULIN VERT;PARIS_WIFI_1416;75014;"{""type"": ""Point"", ""coordinates"": [2.320694084877864, 48.83116518915988]}";48.8311651892, 2.32069408488
107;ANTENNE JEUNE ORILLON;43, RUE DE L'ORILLON;PARIS_WIFI_1101;75011;"{""type"": ""Point"", ""coordinates"": [2.3773067387808613, 48.87054787306857]}";48.8705478731, 2.37730673878
111;JARDIN CITE PROST;17 RUE TITON;PARIS_WIFI_1105;75011;"{""type"": ""Point"", ""coordinates"": [2.385418337555292, 48.85215514538685]}";48.8521551454, 2.38541833756
150;BIBLIOTHEQUE JEAN PIERRE MELVILLE;77, RUE NATIONALE;PARIS_WIFI_1303;75013;"{""type"": ""Point"", ""coordinates"": [2.366432632167355, 48.82692441888442]}";48.8269244189, 2.36643263217
