Identifiant ArcGIS;Nom du site;Adresse;Code Site;Arrondissement;geo_shape;geo_point_2d
120;SQUARE JEAN AICARD;AVENUE JEAN AICARD;PARIS_WIFI_1114;75011;"{""type"": ""Point"", ""coordinates"": [2.380856400742501, 48.865823692965655]}";48.865823693, 2.38085640074
201;BIBLIOTHEQUE GUTENBERG;8, RUE DE LA MONTAGNE D'AULAS;PARIS_WIFI_1502;75015;"{""type"": ""Point"", ""coordinates"": [2.27868848309999, 48.84020442238606]}";48.8402044224, 2.2786884831
210;JARDIN NICOLE DE HAUTECLOCQUE;28, RUE EDGAR FAURE;PARIS_WIFI_1511;75015;"{""type"": ""Point"", ""coordinates"": [2.2950377770339565, 48.851972743705815]}";48.8519727437, 2.29503777703
239;Stade Jean Bouin;28, AVENUE DU GENERAL SARRAIL;PARIS_WIFI_1616;75016;"{""type"": ""Point"", ""coordinates"": [2.252745774274091, 48.843556721711764]}";48.8435567217, 2.25274577427
214;MUSEE ANTOINE BOURDELLE;16, RUE ANTOINE BOURDELLE;PARIS_WIFI_1515;75015;"{""type"": ""Point"", ""coordinates"": [2.3188243020766857, 48.84301641627446]}";48.8430164163, 2.31882430208
223;SQUARE SAINT LAMBERT;1, RUE THEOPHRASTE  RENAUDOT;PARIS_WIFI_1525;75015;"{""type"": ""Point"", ""coordinates"": [2.2977094686373953, 48.84250170153144]}";48.8425017015, 2.29770946864
251;SQUARE ANDRE ULMANN;17, BOULEVARD DE REIMS;PARIS_WIFI_1712;75017;"{""type"": ""Point"", ""coordinates"": [2.297786361864273, 48.8890312183032]}";48.8890312183, 2.29778636186
257;BIBLIOTHEQUE JACQUELINE DE ROMILLY;16, AVENUE DE LA PORTE DE MONTMARTRE (BINET);PARIS_WIFI_1804;75018;"{""type"": ""Point"", ""coordinates"": [2.3362299917351095, 48.899772582083436]}";48.8997725821, 2.33622999174
295;BIBLIOTHEQUE SORBIER;17, RUE SORBIER;PARIS_WIFI_2005;75020;"{""type"": ""Point"", ""coordinates"": [2.3928086580769974, 48.86595354556543]}";48.8659535456, 2.39280865808
305;MAISON DU DEVELOPPEMENT ECONOMIQUE DU 20;31, RUE DE PIXERECOURT;PARIS_WIFI_2015;75020;"{""type"": ""Point"", ""coordinates"": [2.395749177773914, 48.87197504840814]}";48.8719750484, 2.39574917777
215;MUSEE MEMORIAL MARECHAL LECLERC;23, ALLEE DE LA DEUXIEME DIVISION BLINDEE;PARIS_WIFI_1516;75015;"{""type"": ""Point"", ""coordinates"": [2.319973246174123, 48.84049584440984]}";48.8404958444, 2.31997324617
243;CENTRE CULTUREL LA JONQUIERE;88, RUE LA JONQUIERE;PARIS_WIFI_1704;75017;"{""type"": ""Point"", ""coordinates"": [2.3190615292258636, 48.89474446504488]}";48.894744465, 2.31906152923
236;SQUARE ALEXANDRE ET RENE PARODI;BOULEVARD THIERRY DE MARTEL;PARIS_WIFI_1612;75016;"{""type"": ""Point"", ""coordinates"": [2.2808971950443735, 48.87636534204044]}";48.876365342, 2.28089719504
271;BIBLIOTHEQUE CRIMEE;42, RUE PETIT;PARIS_WIFI_1903;75019;"{""type"": ""Point"", ""coordinates"": [2.383101972068848, 48.88490083896982]}";48.884900839, 2.38310197207
306;MEDIATHEQUE MARGUERITE DURAS;109-115, RUE DE BAGNOLET;PARIS_WIFI_2016;75020;"{""type"": ""Point"", ""coordinates"": [2.4030319852136945, 48.85992936546414]}";48.8599293655, 2.40303198521
254;BIBLIOTHEQUE ROBERT SABATIER (EX : CLIGNANCOURT);29, RUE HERMEL;PARIS_WIFI_1801;75018;"{""type"": ""Point"", ""coordinates"": [2.344473448994982, 48.891624970944925]}";48.8916249709, 2.34447344899
262;MAISON DES ASSOCIATIONS DU 18;15, PASSAGE RAMEY;PARIS_WIFI_1809;75018;"{""type"": ""Point"", ""coordinates"": [2.347316754163083, 48.89006615700377]}";48.890066157, 2.34731675416
269;ARCHIVES DE PARIS;18, BOULEVARD SERURIER;PARIS_WIFI_1901;75019;"{""type"": ""Point"", ""coordinates"": [2.406576762617432, 48.8789311190917]}";48.8789311191, 2.40657676262
299;JARDIN ZAC REUNION;20, RUE DES HAIES;PARIS_WIFI_2009;75020;"{""type"": ""Point"", ""coordinates"": [2.4014187763979793, 48.85445160460211]}";48.8544516046, 2.4014187764
250;SQUARE DES BATIGNOLLES;PLACE CHARLES FILLION;PARIS_WIFI_1711;75017;"{""type"": ""Point"", ""coordinates"": [2.3158307964070652, 48.88818436524355]}";48.8881843652, 2.31583079641
234;MUSEE D'ART MODERNE;11, AVENUE DU PRESIDENT WILSON;PARIS_WIFI_1610;75016;"{""type"": ""Point"", ""coordinates"": [2.2975362761424836, 48.86476175345826]}";48.8647617535, 2.29753627614
237;STADE COUBERTIN;82, RUE GEORGES LAFFONT;PARIS_WIFI_1614;75016;"{""type"": ""Point"", ""coordinates"": [2.2557429878692874, 48.835495687789106]}";48.8354956878, 2.25574298787
267;SQUARE SUZANNE BUISSON;7, RUE GIRARDON;PARIS_WIFI_1814;75018;"{""type"": ""Point"", ""coordinates"": [2.3376389521895615, 48.88814405777455]}";48.8881440578, 2.33763895219
293;BIBLIOTHEQUE LOUISE MICHEL;29, RUE DES HAIES;PARIS_WIFI_2003;75020;"{""type"": ""Point"", ""coordinates"": [2.401148596757769, 48.85324507111678]}";48.8532450711, 2.40114859676
318;MEDIATHEQUE MARGUERITE DURAS;109-115, RUE DE BAGNOLET;PARIS_WIFI_2028;75020;"{""type"": ""Point"", ""coordinates"": [2.4027688850440767, 48.86016962096488]}";48.860169621, 2.40276888504
311;SQUARE ANTOINE BLONDIN (ANCIEN VILLAGE CHARONNE);128, RUE DE BAGNOLET;PARIS_WIFI_2021;75020;"{""type"": ""Point"", ""coordinates"": [2.4051576988296537, 48.86050901376866]}";48.8605090138, 2.40515769883
317;SQUARE SARAH BERHNARDT;RUE DE LAGNY;PARIS_WIFI_2027;75020;"{""type"": ""Point"", ""coordinates"": [2.404718838242801, 48.84923934025196]}";48.8492393403, 2.40471883824
321;BIBLIOTHEQUE CHARLOTTE DELBO;2, PASSAGE DES PETITS PERES;PARIS_WIFI_0201;75002;"{""type"": ""Point"", ""coordinates"": [2.340485678183343, 48.86645674249703]}";48.8664567425, 2.34048567818
307;PARC DE BELLEVILLE;45, RUE DES COURONNES;PARIS_WIFI_2017;75020;"{""type"": ""Point"", ""coordinates"": [2.3841660354070324, 48.87126664697061]}";48.871266647, 2.38416603541
12;MAISON INITIATIVES ETUDIANTES;50, RUE DES TOURNELLES;PARIS-WIFI_0304;75003;"{""type"": ""Point"", ""coordinates"": [2.3673364783617044, 48.85621907442342]}";48.8562190744, 2.36733647836
17;ATELIER DE RESTAURATION PHOTOGRAPHIQUE  (ARCP);10, RUE DE FOURCY;PARIS_WIFI_0401;75004;"{""type"": ""Point"", ""coordinates"": [2.3596331276095754, 48.854840365728535]}";48.8548403657, 2.35963312761
48;MAIRIE  05;21, PLACE DU PANTHEON;PARIS_WIFI_0508;75005;"{""type"": ""Point"", ""coordinates"": [2.344562354700461, 48.84618889140702]}";48.8461888914, 2.3445623547
54;MAIRIE  06;78, RUE BONAPARTE;PARIS_WIFI_0602;75006;"{""type"": ""Point"", ""coordinates"": [2.3325929145874262, 48.850533617954646]}";48.850533618, 2.33259291459
60;ESPLANADE DES INVALIDES;1, RUE PAUL;PARIS_WIFI_0703;75007;"{""type"": ""Point"", ""coordinates"": [2.312697844053019, 48.861965200896165]}";48.8619652009, 2.31269784405
5;MAISON DES ASSOCIATIONS DU 01;5BIS, RUE DU LOUVRE;PARIS_WIFI_0106;75001;"{""type"": ""Point"", ""coordinates"": [2.34119859232508, 48.86192912670549]}";48.8619291267, 2.34119859233
8;MAISON DES ASSOCIATIONS DU 02;23, RUE GRENETA;PARIS_WIFI_0203;75002;"{""type"": ""Point"", ""coordinates"": [2.350473783254162, 48.86510264448043]}";48.8651026445, 2.35047378325
3;CENTRE D'ANIMATION LES HALLES LE MARAIS;6, PLACE CARREE;PARIS_WIFI_0103;75001;"{""type"": ""Point"", ""coordinates"": [2.3472363420379483, 48.861919872369874]}";48.8619198724, 2.34723634204
27;HOTEL DE VILLE (SOUS-SOL ET RDC);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0413;75004;"{""type"": ""Point"", ""coordinates"": [2.35292408666392, 48.85662241805264]}";48.8566224181, 2.35292408666
29;MAISON DE VICTOR HUGO (HOTEL DE ROHAN - GUEMENEE);6, PLACE DES VO10ES;PARIS_WIFI_0415;75004;"{""type"": ""Point"", ""coordinates"": [2.3661137793515947, 48.854818573955065]}";48.854818574, 2.36611377935
64;PARC CHAMPS DE MARS;AVENUE CHARLES RISLER;PARIS_WIFI_0708;75007;"{""type"": ""Point"", ""coordinates"": [2.301453162629967, 48.854736894880475]}";48.8547368949, 2.30145316263
99;MAISON DES ENTREPRISES ET DE L' EMPLOI;209, RUE LAFAYETTE;PARIS_WIFI_1009;75010;"{""type"": ""Point"", ""coordinates"": [2.3640968941429024, 48.88128451599195]}";48.881284516, 2.36409689414
51;SQUARE PAUL LANGEVIN;RUE DES ECOLES;PARIS_WIFI_0511;75005;"{""type"": ""Point"", ""coordinates"": [2.3503606727631716, 48.847943173024106]}";48.847943173, 2.35036067276
65;PARC CHAMPS DE MARS;7 ALLEE CHARLES BOURGEOIS;PARIS_WIFI_0707;75007;"{""type"": ""Point"", ""coordinates"": [2.293515115115052, 48.85705252968377]}";48.8570525297, 2.29351511512
18;BIBLIOTHEQUE ADMINISTRATIVE DE LA VILLE DE PARIS;5, RUE DE LOBAU;PARIS_WIFI_0402;75004;"{""type"": ""Point"", ""coordinates"": [2.352941594465365, 48.85631307205684]}";48.8563130721, 2.35294159447
68;BERGES DE SEINE - LA HALLE;PORT DE SOLFERINO;PARIS_WIFI_0711;75007;"{""type"": ""Point"", ""coordinates"": [2.3224395912756517, 48.86181715110975]}";48.8618171511, 2.32243959128
83;BIBLIOTHEQUE DROUOT;11, RUE DROUOT;PARIS_WIFI_0903;75009;"{""type"": ""Point"", ""coordinates"": [2.340514975741073, 48.8733770558553]}";48.8733770559, 2.34051497574
19;BIBLIOTHEQUE FORNEY;1, RUE DU FIGUIER;PARIS_WIFI_0403;75004;"{""type"": ""Point"", ""coordinates"": [2.359119835239923, 48.8534259399815]}";48.85342594, 2.35911983524
34;SQUARE DE L'HOTEL DE VILLE;QUAI DE L'HOTEL DE VILLE;PARIS_WIFI_0420;75004;"{""type"": ""Point"", ""coordinates"": [2.3528321835343586, 48.8549201253407]}";48.8549201253, 2.35283218353
61;JARDIN CATHERINE LABOURE;33, RUE DE BABYLONE;PARIS_WIFI_0704;75007;"{""type"": ""Point"", ""coordinates"": [2.3204925041162787, 48.851424209485884]}";48.8514242095, 2.32049250412
9;BIBLIOTHEQUE MARGUERITE AUDOUX (ex PORTEFOIN);8-12, RUE PORTEFOIN;PARIS-WIFI_0301;75003;"{""type"": ""Point"", ""coordinates"": [2.360069634850486, 48.86359835772685]}";48.8635983577, 2.36006963485
21;ESPACE DES BLANCS MANTEAUX;48, RUE VEILLE DU TEMPLE;PARIS_WIFI_0407;75004;"{""type"": ""Point"", ""coordinates"": [2.3583736775633684, 48.85825856292208]}";48.8582585629, 2.35837367756
28;MAIRIE  04 - BIBLIOTHEQUE ARTHUR RIMBAUD (ex BIBLIOTHEQUE BAUDOYER);2, PLACE BAUDOYER;PARIS_WIFI_0414;75004;"{""type"": ""Point"", ""coordinates"": [2.355629406251058, 48.85619041056645]}";48.8561904106, 2.35562940625
57;SQUARE OZANAM;BOULEVARD DU MONTPARNASSE;PARIS_WIFI_0605;75006;"{""type"": ""Point"", ""coordinates"": [2.3275077878208896, 48.84340962788521]}";48.8434096279, 2.32750778782
155;Centre Sportif Georges Carpentier Tennis de Table;81, BOULEVARD MASSENA;PARIS_WIFI_1308;75013;"{""type"": ""Point"", ""coordinates"": [2.3702227025470366, 48.82011148521751]}";48.8201114852, 2.37022270255
105;MEDIATHEQUE FRANCOISE SAGAN;8 RUE LEON SCHWARTZENBERG;PARIS_WIFI_1015;75010;"{""type"": ""Point"", ""coordinates"": [2.3538342461820054, 48.87551395988317]}";48.8755139599, 2.35383424618
189;MAIRIE  14;2, PLACE FERDINAND BRUNOT;PARIS_WIFI_1409;75014;"{""type"": ""Point"", ""coordinates"": [2.326836044095825, 48.83299437047757]}";48.8329943705, 2.3268360441
129;CENTRE D'ANIMATION REUILLY;19, RUE HENARD;PARIS_WIFI_1208;75012;"{""type"": ""Point"", ""coordinates"": [2.3895618708287683, 48.842449589982266]}";48.84244959, 2.38956187083
172;SQUARE GANDON;211, BOULEVARD MASSENA;PARIS_WIFI_1325;75013;"{""type"": ""Point"", ""coordinates"": [2.3624827839646545, 48.82045456876293]}";48.8204545688, 2.36248278396
190;MAISON DES ASSOCIATIONS DU 14;22, RUE DEPARCIEUX;PARIS_WIFI_1410;75014;"{""type"": ""Point"", ""coordinates"": [2.3258030796044293, 48.8355887617045]}";48.8355887617, 2.3258030796
175;SQUARE HELOISE ET ABELARD;22, RUE PIERRE GOURDAULT;PARIS_WIFI_1328;75013;"{""type"": ""Point"", ""coordinates"": [2.3696178011959232, 48.83116090172131]}";48.8311609017, 2.3696178012
157;JARDIN CYPRIAN NORWID;36, RUE DU CHEVALERET;PARIS_WIFI_1310;75013;"{""type"": ""Point"", ""coordinates"": [2.3775074886523053, 48.82811480174004]}";48.8281148017, 2.37750748865
164;MAISON DES ASSOCIATIONS DU 13;13, RUE CAILLAUX;PARIS_WIFI_1317;75013;"{""type"": ""Point"", ""coordinates"": [2.3613738768514234, 48.822688865732694]}";48.8226888657, 2.36137387685
181;BIBLIOTHEQUE GEORGES BRASSENS;38, RUE GASSENDI;PARIS_WIFI_1401;75014;"{""type"": ""Point"", ""coordinates"": [2.3258376648229575, 48.83376370043508]}";48.8337637004, 2.32583766482
198;SQUARE JULIA BARTET;RUE JULIA BARTET;PARIS_WIFI_1418;75014;"{""type"": ""Point"", ""coordinates"": [2.303706409546913, 48.826321614966545]}";48.826321615, 2.30370640955
126;BIBLIOTHEQUE HELENE BERR - PICPUS 2;70, RUE DE PICPUS;PARIS_WIFI_1204;75012;"{""type"": ""Point"", ""coordinates"": [2.397539341572352, 48.84253907970061]}";48.8425390797, 2.39753934157
169;SOLARIUM JOSEPHINE BAKER;PORTE DE LA GARE;PARIS_WIFI_1322;75013;"{""type"": ""Point"", ""coordinates"": [2.3758804229825223, 48.83602386977702]}";48.8360238698, 2.37588042298
166;PARC DE CHOISY;160, AVENUE DE CHOISY;PARIS_WIFI_1319;75013;"{""type"": ""Point"", ""coordinates"": [2.360801875316847, 48.82744623607507]}";48.8274462361, 2.36080187532
180;STADE CHARLETY;99 BOULEVARD KELLERMANN;PARIS_WIFI_1333;75013;"{""type"": ""Point"", ""coordinates"": [2.3455087169285176, 48.81830299686434]}";48.8183029969, 2.34550871693
183;BIBLIOTHEQUE VANDAMME;80, AVENUE DU MAINE;PARIS_WIFI_1403;75014;"{""type"": ""Point"", ""coordinates"": [2.321827372741553, 48.83899034217277]}";48.8389903422, 2.32182737274
212;MAISON COMMUNALE;69, RUE VIOLET;PARIS_WIFI_1513;75015;"{""type"": ""Point"", ""coordinates"": [2.291406563774308, 48.84560767174906]}";48.8456076717, 2.29140656377
228;JARDIN DU TROCADERO;1, PLACE DU ONZE NOVEMBRE 1918;PARIS_WIFI_1604;75016;"{""type"": ""Point"", ""coordinates"": [2.2890812019548226, 48.86267378751548]}";48.8626737875, 2.28908120195
277;CENTRE D'ANIMATION JEAN MATHIS;15, RUE MATHIS;PARIS_WIFI_1909;75019;"{""type"": ""Point"", ""coordinates"": [2.374863651223712, 48.89078386168302]}";48.8907838617, 2.37486365122
297;CENTRE D'ANIMATION LOUIS LUMIERE;46, RUE LOUIS LUMIERE;PARIS_WIFI_2007;75020;"{""type"": ""Point"", ""coordinates"": [2.4115246820917937, 48.860402544750485]}";48.8604025448, 2.41152468209
217;PARC GEORGES BRASSENS (ENTREE);2, PLACE JACQUES MARETTE;PARIS_WIFI_1519;75015;"{""type"": ""Point"", ""coordinates"": [2.299936510734157, 48.83162131473665]}";48.8316213147, 2.29993651073
225;BIBLIOTHEQUE MUSSET;20, RUE DE MUSSET;PARIS_WIFI_1601;75016;"{""type"": ""Point"", ""coordinates"": [2.2635218813240146, 48.84207898886967]}";48.8420789889, 2.26352188132
238;JARDIN D'ACCLIMATATION;BOIS DE BOULOGNE;PARIS_WIFI_1615;75016;"{""type"": ""Point"", ""coordinates"": [2.2648531653940958, 48.878339708766]}";48.8783397088, 2.26485316539
275;BIBLIOTHEQUE PLACE DES FETES;18, RUE JANSSEN;PARIS_WIFI_1907;75019;"{""type"": ""Point"", ""coordinates"": [2.397316910863781, 48.879393003777956]}";48.8793930038, 2.39731691086
284;PARC DES BUTTES CHAUMONT (BOLIVAR);1, RUE BOTZARIS;PARIS_WIFI_1916;75019;"{""type"": ""Point"", ""coordinates"": [2.3805119793935567, 48.87664510410141]}";48.8766451041, 2.38051197939
285;PARC DES BUTTES CHAUMONT (CARREL);4, PLACE ARMAND CARREL;PARIS_WIFI_1917;75019;"{""type"": ""Point"", ""coordinates"": [2.3821579700666655, 48.882058409908524]}";48.8820584099, 2.38215797007
290;SQUARE MARCEL MOULOUDJI (ANCIEN LOIRE JAURES);2, RUE PIERRE REVERDY;PARIS_WIFI_1922;75019;"{""type"": ""Point"", ""coordinates"": [2.377259357734391, 48.885626564158684]}";48.8856265642, 2.37725935773
289;SQUARE DE LA MARSEILLAISE;1 BIS, RUE DE LA MARSEILLAISE;PARIS_WIFI_1921;75019;"{""type"": ""Point"", ""coordinates"": [2.3973229594101455, 48.88795230388303]}";48.8879523039, 2.39732295941
220;SQUARE RUE BLOMET;RUE BLOMET;PARIS_WIFI_1522;75015;"{""type"": ""Point"", ""coordinates"": [2.3052349704244772, 48.84221650113775]}";48.8422165011, 2.30523497042
264;SQUARE LEON;PASSAGE LEON;PARIS_WIFI_1811;75018;"{""type"": ""Point"", ""coordinates"": [2.3536543817999305, 48.88633987941649]}";48.8863398794, 2.3536543818
279;MAISON DES ASSOCIATIONS DU 19;20, RUE EDOUARD PAILLERON;PARIS_WIFI_1911;75019;"{""type"": ""Point"", ""coordinates"": [2.376550239452313, 48.88043581313899]}";48.8804358131, 2.37655023945
319;CENTRE D'ANIMATION KEN SARO WIWA;63 rue Buzenval;PARIS_WIFI_2029;75020;"{""type"": ""Point"", ""coordinates"": [2.4007394710290146, 48.85280371655742]}";48.8528037166, 2.40073947103
309;PARC DE BELLEVILLE (PARIS NATURE MAISON DE L'AIR);27, RUE PIAT;PARIS_WIFI_2019;75020;"{""type"": ""Point"", ""coordinates"": [2.3849329355874658, 48.87171808810535]}";48.8717180881, 2.38493293559
320;CENTRE D'ANIMATION WANGARI MAATHAI;13-15 rue Mouraud;PARIS_WIFI_2030;75020;"{""type"": ""Point"", ""coordinates"": [2.4075482907460697, 48.85516783593179]}";48.8551678359, 2.40754829075
6;JARDIN NELSON MANDELA;32 RUE BERGER;PARIS_WIFI_0107;75001;"{""type"": ""Point"", ""coordinates"": [2.3445198276662964, 48.862518260508615]}";48.8625182605, 2.34451982767
44;BIBLIOTHEQUE HEURE JOYEUSE;6, RUE DES PRETRES SAINT SEVERIN;PARIS_WIFI_0503;75005;"{""type"": ""Point"", ""coordinates"": [2.345054202701727, 48.85197532521217]}";48.8519753252, 2.3450542027
25;HOTEL DE VILLE (3E ETAGE);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0411;75004;"{""type"": ""Point"", ""coordinates"": [2.352542221340694, 48.855927850116515]}";48.8559278501, 2.35254222134
35;SQUARE JEAN XXIII;RUE DU CLOITRE NOTRE DAME;PARIS_WIFI_0421;75004;"{""type"": ""Point"", ""coordinates"": [2.351606662535605, 48.85202658237664]}";48.8520265824, 2.35160666254
16;SQUARE LEOPOLD ACHILLE;13-13 BIS, RUE PAYENNE;PARIS-WIFI_0308;75003;"{""type"": ""Point"", ""coordinates"": [2.363457811608564, 48.85818833451022]}";48.8581883345, 2.36345781161
50;SQUARE DES ARENES DE LUTECE;RUE MONGE;PARIS_WIFI_0510;75005;"{""type"": ""Point"", ""coordinates"": [2.3532278243253235, 48.84545855986536]}";48.8454585599, 2.35322782433
58;BIBLIOTHEQUE AMELIE;164, RUE DE GRENELLE;PARIS_WIFI_0701;75007;"{""type"": ""Point"", ""coordinates"": [2.3089715782802758, 48.858065797174355]}";48.8580657972, 2.30897157828
74;MAISON DES ASSOCIATIONS DU 08;28, RUE LAURE DIEBOLD;PARIS_WIFI_0806;75008;"{""type"": ""Point"", ""coordinates"": [2.304766461525645, 48.87602610152018]}";48.8760261015, 2.30476646153
87;SQUARE D'ANVERS;PLACE D'ANVERS;PARIS_WIFI_0907;75009;"{""type"": ""Point"", ""coordinates"": [2.3442630226923376, 48.88238572254084]}";48.8823857225, 2.34426302269
42;BIBLIOTHEQUE BUFFON;15 BIS, RUE BUFFON;PARIS_WIFI_0501;75005;"{""type"": ""Point"", ""coordinates"": [2.3618000250240776, 48.842608073414226]}";48.8426080734, 2.36180002502
56;SQUARE FELIX DESRUELLES;168 BIS, BOULEVARD SAINT GERMAIN;PARIS_WIFI_0604;75006;"{""type"": ""Point"", ""coordinates"": [2.3342359199778357, 48.85384301217657]}";48.8538430122, 2.33423591998
85;MAIRIE  09;6, RUE DROUOT;PARIS_WIFI_0905;75009;"{""type"": ""Point"", ""coordinates"": [2.3404373617082914, 48.87260466084016]}";48.8726046608, 2.34043736171
24;HOTEL DE VILLE (1ER ETAGE);4, PLACE DE L'HOTEL DE VILLE;PARIS_WIFI_0410;75004;"{""type"": ""Point"", ""coordinates"": [2.3521915535305404, 48.85665066487209]}";48.8566506649, 2.35219155353
53;BIBLIOTHEQUE ANDRE MALRAUX;78, BOULEVARD RASPAIL;PARIS_WIFI_0601;75006;"{""type"": ""Point"", ""coordinates"": [2.327575936583555, 48.84810679194541]}";48.8481067919, 2.32757593658
96;JARDIN VILLEMIN;8, RUE DES RECOLLETS;PARIS_WIFI_1006;75010;"{""type"": ""Point"", ""coordinates"": [2.3611107383704057, 48.874977900482406]}";48.8749779005, 2.36111073837
97;MAIRIE 10;72, RUE DU FAUBOURG SAINT MARTIN;PARIS_WIFI_1007;75010;"{""type"": ""Point"", ""coordinates"": [2.357415454809863, 48.871892037559824]}";48.8718920376, 2.35741545481
98;MAISON DES ASSOCIATIONS DU 10;206, QUAI DE VALMY;PARIS_WIFI_1008;75010;"{""type"": ""Point"", ""coordinates"": [2.368701201002034, 48.88178135771705]}";48.8817813577, 2.368701201
20;BIBLIOTHEQUE HISTORIQUE DE LA VILLE DE PARIS;24, RUE PAVEE;PARIS_WIFI_0404;75004;"{""type"": ""Point"", ""coordinates"": [2.3616489356445194, 48.85704643762089]}";48.8570464376, 2.36164893564
38;SQUARE DE LA TOUR SAINT JACQUES;88, RUE DE RIVOLI;PARIS_WIFI_0424;75004;"{""type"": ""Point"", ""coordinates"": [2.3492699823598655, 48.857798215002816]}";48.857798215, 2.34926998236
36;SQUARE JEAN XXIII;RUE DU CLOITRE NOTRE DAME;PARIS_WIFI_0422;75004;"{""type"": ""Point"", ""coordinates"": [2.3508337774780474, 48.8523605921778]}";48.8523605922, 2.35083377748
43;BIBLIOTHEQUE DES LITTERATURES POLICIERES  (Bilipo);48, RUE DU CARDINAL LEMOINE;PARIS_WIFI_0502;75005;"{""type"": ""Point"", ""coordinates"": [2.3510779584919974, 48.84636502499582]}";48.846365025, 2.35107795849
81;ANNEXE MAISON DES ASSOCIATIONS 09;35, RUE VICTOR MASSE;PARIS_WIFI_0901;75009;"{""type"": ""Point"", ""coordinates"": [2.337007922184782, 48.88098644146314]}";48.8809864415, 2.33700792218
10;MAIRIE  03;2, RUE EUGENE SPULLER;PARIS-WIFI_0302;75003;"{""type"": ""Point"", ""coordinates"": [2.361513238729121, 48.86398927335011]}";48.8639892734, 2.36151323873
90;CENTRE D'ANIMATION TOUR DES DAMES;14-18 rue de la Tour des Dames;PARIS_WIFI_0910;75009;"{""type"": ""Point"", ""coordinates"": [2.332736233817834, 48.877789880618955]}";48.8777898806, 2.33273623382
100;SQUARE ALBAN SATRAGNE;107, RUE DU FAUBOURG SAINT DENIS;PARIS_WIFI_1010;75010;"{""type"": ""Point"", ""coordinates"": [2.3549902810701084, 48.875648295783265]}";48.8756482958, 2.35499028107
125;BIBLIOTHEQUE DIDEROT;42, RUE DAUMESNIL;PARIS_WIFI_1203;75012;"{""type"": ""Point"", ""coordinates"": [2.377783970787098, 48.845988752881794]}";48.8459887529, 2.37778397079
178;SQUARE RENE LEGALL;43, RUE CORVISART;PARIS_WIFI_1331;75013;"{""type"": ""Point"", ""coordinates"": [2.3485815299464488, 48.83164761741486]}";48.8316476174, 2.34858152995
184;CONSEIL DE LA JEUNESSE;40, RUE DIDOT;PARIS_WIFI_1404;75014;"{""type"": ""Point"", ""coordinates"": [2.319845259970973, 48.83154279257775]}";48.8315427926, 2.31984525997
200;BIBLIOTHEQUE ANDREE CHEDID - EX : BEAUGRENELLE;36, RUE EMERIAU;PARIS_WIFI_1501;75015;"{""type"": ""Point"", ""coordinates"": [2.286556960328886, 48.85021743319865]}";48.8502174332, 2.28655696033
124;ALLEE VIVALDI;13, RUE HENARD;PARIS_WIFI_1202;75012;"{""type"": ""Point"", ""coordinates"": [2.389217499322704, 48.84203106458122]}";48.8420310646, 2.38921749932
179;STADE CHARLETY;99 BOULEVARD KELLERMANN;PARIS_WIFI_1332;75013;"{""type"": ""Point"", ""coordinates"": [2.3457034027006167, 48.818991525017005]}";48.818991525, 2.3457034027
131;DSTI;227, RUE DE BERCY;PARIS_WIFI_1210;75012;"{""type"": ""Point"", ""coordinates"": [2.3697065383760774, 48.846518632885044]}";48.8465186329, 2.36970653838
147;PARC FLORAL;Avenue des Minimes;PARIS_WIFI_1226;75012;"{""type"": ""Point"", ""coordinates"": [2.442404644060766, 48.838020888900196]}";48.8380208889, 2.44240464406
130;CENTRE D'HEBERGEMENT MAURICE RAVEL;6, AVENUE MAURICE RAVEL;PARIS_WIFI_1209;75012;"{""type"": ""Point"", ""coordinates"": [2.411640693289274, 48.842308012927305]}";48.8423080129, 2.41164069329
140;PARC DE BERCY (ORANGERIE);1, COUR CHAMONARD;PARIS_WIFI_1219;75012;"{""type"": ""Point"", ""coordinates"": [2.3832448874136416, 48.83561716813782]}";48.8356171681, 2.38324488741
148;BIBLIOTHEQUE GLACIERE - MARINA TSVETAIEVA;132, RUE DE LA GLACIERE;PARIS_WIFI_1301;75013;"{""type"": ""Point"", ""coordinates"": [2.341975308347513, 48.82731527276159]}";48.8273152728, 2.34197530835
162;MAIRIE  13;1, PLACE D'ITALIE;PARIS_WIFI_1315;75013;"{""type"": ""Point"", ""coordinates"": [2.3555583884250213, 48.8322884894918]}";48.8322884895, 2.35555838843
203;BIBLIOTHEQUE YOURCENAR;41, RUE D ALLERAY;PARIS_WIFI_1504;75015;"{""type"": ""Point"", ""coordinates"": [2.3036394716814947, 48.83696055909148]}";48.8369605591, 2.30363947168
134;JARDIN DE REUILLY;1, RUE ALBINONI;PARIS_WIFI_1213;75012;"{""type"": ""Point"", ""coordinates"": [2.388252540397555, 48.84280305085213]}";48.8428030509, 2.3882525404
170;SQUARE DE LA RAFFINERIE SAY;BOULEVARD VINCENT AURIOL;PARIS_WIFI_1323;75013;"{""type"": ""Point"", ""coordinates"": [2.3608200936295067, 48.831930982076045]}";48.8319309821, 2.36082009363
182;BIBLIOTHEQUE PLAISANCE (AIME CESAIRE);3, RUE DE RIDDER;PARIS_WIFI_1402;75014;"{""type"": ""Point"", ""coordinates"": [2.3118052032038214, 48.83118822580484]}";48.8311882258, 2.3118052032
